zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
11956,US,NY,New York,Suffolk,40.9915,-72.4759,21N,40.98759841918945,-72.51899719238281,3.6432074108204735
11957,US,NY,New York,Suffolk,41.1437,-72.2879,2NK3,41.15430068969727,-72.28009796142578,1.3476603436733525
11958,US,NY,New York,Suffolk,41.0392,-72.4666,21N,40.98759841918945,-72.51899719238281,7.228412034456081
11959,US,NY,New York,Suffolk,40.8226,-72.6012,KFOK,40.8437004089,-72.6317977905,3.48305924382328
11960,US,NY,New York,Suffolk,40.8086,-72.7064,49N,40.824798583984375,-72.75090026855469,4.15548135818107
11961,US,NY,New York,Suffolk,40.9018,-72.8881,K3C8,40.9151000977,-72.7919006348,8.218400970992539
11962,US,NY,New York,Suffolk,40.9305,-72.2707,KHTO,40.95959854,-72.25180054,3.6040102477190823
11963,US,NY,New York,Suffolk,40.982,-72.3067,KHTO,40.95959854,-72.25180054,5.239219005592227
11964,US,NY,New York,Suffolk,41.06399999999999,-72.3366,US-0767,41.071008,-72.32701800000001,1.1191610993776673
11965,US,NY,New York,Suffolk,41.083999999999996,-72.3559,US-0767,41.071008,-72.32701800000001,2.8191947146465353
11967,US,NY,New York,Suffolk,40.8015,-72.8676,KHWV,40.821899414099995,-72.86940002440001,2.2733642878312033
11968,US,NY,New York,Suffolk,40.9043,-72.4103,21N,40.98759841918945,-72.51899719238281,13.005228722385956
11969,US,NY,New York,Suffolk,40.8843,-72.3895,KHTO,40.95959854,-72.25180054,14.281276257223789
11970,US,NY,New York,Suffolk,40.9365,-72.5773,21N,40.98759841918945,-72.51899719238281,7.500034628902523
11971,US,NY,New York,Suffolk,41.0555,-72.429,49NY,41.055671999999994,-72.360486,5.744866420431095
11972,US,NY,New York,Suffolk,40.8195,-72.7054,1N2,40.82789993286133,-72.74870300292969,3.7614965936834897
11973,US,NY,New York,Suffolk,40.8678,-72.8822,KHWV,40.821899414099995,-72.86940002440001,5.216243543199692
11975,US,NY,New York,Suffolk,40.9396,-72.2425,KHTO,40.95959854,-72.25180054,2.3569290737113935
11976,US,NY,New York,Suffolk,40.9209,-72.3491,KHTO,40.95959854,-72.25180054,9.236365116528551
11977,US,NY,New York,Suffolk,40.818000000000005,-72.6699,KFOK,40.8437004089,-72.6317977905,4.294581948264486
11978,US,NY,New York,Suffolk,40.8295,-72.6473,KFOK,40.8437004089,-72.6317977905,2.047956408530585
11980,US,NY,New York,Suffolk,40.836999999999996,-72.9174,KHWV,40.821899414099995,-72.86940002440001,4.373711223385303
12007,US,NY,New York,Albany,42.4561,-73.9277,33NY,42.39950180053711,-73.86620330810547,8.067441838807152
12008,US,NY,New York,Schenectady,42.8573,-73.9002,KSCH,42.852500915527,-73.92890167236301,2.3996915191643815
12009,US,NY,New York,Albany,42.7063,-74.0193,NK43,42.758399963378906,-73.92459869384766,9.66382506653629
12010,US,NY,New York,Montgomery,42.9387,-74.1882,NY87,42.96260070800781,-74.25370025634766,5.95667494080879
12015,US,NY,New York,Greene,42.2736,-73.8152,NY74,42.32369995117188,-73.87319946289062,7.334095399428284
12016,US,NY,New York,Montgomery,42.9295,-74.3165,NY87,42.96260070800781,-74.25370025634766,6.298795321071956
12017,US,NY,New York,Columbia,42.3223,-73.455,NY1,42.35010147094727,-73.63710021972656,15.28379737397221
12018,US,NY,New York,Rensselaer,42.6365,-73.5504,5B7,42.69089889526367,-73.57959747314453,6.50296292632354
12019,US,NY,New York,Saratoga,42.9192,-73.8552,W57,42.92919921875,-73.770401000977,6.993544976926244
12020,US,NY,New York,Saratoga,43.005,-73.8486,K5B2,43.05130005,-73.86119843,5.249193127101326
12022,US,NY,New York,Rensselaer,42.6919,-73.3702,5B7,42.69089889526367,-73.57959747314453,17.114432581735613
12023,US,NY,New York,Albany,42.6108,-74.1466,NY81,42.61119842529297,-74.0647964477539,6.694606394124296
12024,US,NY,New York,Rensselaer,42.495,-73.5107,NY82,42.58060073852539,-73.61620330810547,12.857664487247986
12025,US,NY,New York,Fulton,43.0727,-74.1684,NY64,43.10290145874024,-74.15509796142578,3.5277038677522343
12027,US,NY,New York,Saratoga,42.9329,-73.896,KSCH,42.852500915527,-73.92890167236301,9.333124098613444
12028,US,NY,New York,Rensselaer,42.9601,-73.4497,7NY6,42.893699645996094,-73.50789642333984,8.773029286473975
